fighter,date,event,avg_kd,avg_sig_str_landed,avg_sig_str_att,avg_total_str_landed,avg_total_str_att,avg_td_landed,avg_td_att,avg_sub_att,avg_ctrl_seconds,avg_head_landed,avg_body_landed,avg_leg_landed,avg_distance_landed,avg_clinch_landed,avg_ground_landed,weight_class,result,style
Michel Pereira,2020-12-19,UFC Fight Night: Thompson vs. Neal,0.25,15.0,27.75,15.25,28.0,0.25,0.5,0.0,8.75,5.75,8.25,1.0,12.5,2.5,0.0,Welterweight,W,Mixed
Gillian Robertson,2020-12-19,UFC Fight Night: Thompson vs. Neal,0.0,8.875,19.375,15.125,26.25,0.875,2.0,0.125,147.625,6.875,1.125,0.875,4.0,0.25,4.625,Women's Flyweight,L,Mixed
Deron Winn,2020-12-19,UFC Fight Night: Thompson vs. Neal,0.0,23.666666666666668,48.666666666666664,31.666666666666668,57.666666666666664,1.3333333333333333,3.0,0.0,89.33333333333333,16.666666666666668,5.0,2.0,17.333333333333332,3.3333333333333335,3.0,Catch Weight,W,Muay_Thai
Taila Santos,2020-12-19,UFC Fight Night: Thompson vs. Neal,0.0,12.5,29.5,19.0,36.5,1.5,2.0,1.0,84.5,2.5,6.5,3.5,8.5,4.0,0.0,Women's Flyweight,W,Mixed
Jamie Pickett,2020-12-19,UFC Fight Night: Thompson vs. Neal,,,,,,,,,,,,,,,,Middleweight,L,Mixed
Marcin Tybura,2020-12-19,UFC Fight Night: Thompson vs. Neal,0.0,15.666666666666666,33.666666666666664,30.083333333333332,51.083333333333336,0.5,0.6666666666666666,0.08333333333333333,82.75,11.083333333333334,2.5833333333333335,2.0,9.583333333333334,1.25,4.833333333333333,Heavyweight,W,Mixed
Alessio Di Chirico,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,13.125,34.5,15.375,37.0,0.375,1.0,0.0,20.875,8.125,2.5,2.5,11.125,1.875,0.125,Middleweight,W,Mixed
Wu Yanan,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,22.333333333333332,46.666666666666664,29.333333333333332,54.333333333333336,0.3333333333333333,1.0,0.3333333333333333,66.66666666666667,9.666666666666666,6.333333333333333,6.333333333333333,17.333333333333332,4.666666666666667,0.3333333333333333,Women's Bantamweight,L,Sniper
Joselyne Edwards,2021-01-16,UFC Fight Night: Holloway vs. Kattar,,,,,,,,,,,,,,,,Women's Bantamweight,W,Mixed
Dusko Todorovic,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,53.0,75.0,65.0,89.0,0.0,0.0,0.0,82.0,36.0,11.0,6.0,36.0,17.0,0.0,Middleweight,L,Muay_Thai
Punahele Soriano,2021-01-16,UFC Fight Night: Holloway vs. Kattar,2.0,26.0,44.0,26.0,46.0,1.0,1.0,0.0,74.0,20.0,6.0,0.0,10.0,2.0,14.0,Middleweight,W,Striker
Carlos Condit,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.14285714285714285,12.428571428571429,36.142857142857146,19.0,43.0,0.0,0.0,0.2857142857142857,23.714285714285715,4.285714285714286,3.142857142857143,5.0,10.714285714285714,1.4285714285714286,0.2857142857142857,Welterweight,W,Mixed
Joaquin Buckley,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.3333333333333333,25.666666666666668,62.333333333333336,31.0,68.0,0.3333333333333333,1.3333333333333333,0.0,57.333333333333336,13.666666666666666,9.666666666666666,2.3333333333333335,18.666666666666668,4.0,3.0,Middleweight,L,Striker
Matt Brown,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.125,16.0,31.125,18.125,33.75,0.25,0.375,0.25,50.0,11.0,4.5,0.5,11.0,4.625,0.375,Welterweight,L,Muay_Thai
Ramazan Emeev,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.2,11.6,24.8,17.8,31.8,1.2,3.0,0.6,104.8,8.8,1.6,1.2,6.4,3.0,2.2,Welterweight,W,Mixed
Max Holloway,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,21.076923076923077,53.76923076923077,22.23076923076923,55.07692307692308,0.0,0.0,0.0,13.153846153846153,14.0,5.0,2.076923076923077,20.384615384615383,0.6153846153846154,0.07692307692307693,Featherweight,W,Sniper
Santiago Ponzinibbio,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.3333333333333333,20.11111111111111,45.22222222222222,20.88888888888889,46.0,0.1111111111111111,0.4444444444444444,0.0,11.555555555555555,14.88888888888889,1.8888888888888888,3.3333333333333335,17.88888888888889,1.2222222222222223,1.0,Welterweight,L,Striker
Sarah Moras,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,13.285714285714286,32.142857142857146,27.142857142857142,48.142857142857146,0.2857142857142857,1.2857142857142858,0.42857142857142855,91.71428571428571,10.285714285714286,1.5714285714285714,1.4285714285714286,7.428571428571429,0.7142857142857143,5.142857142857143,Women's Bantamweight,L,Mixed
David Zawada,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.3333333333333333,13.333333333333334,30.0,25.333333333333332,42.333333333333336,0.0,1.3333333333333333,1.0,13.0,7.333333333333333,5.0,1.0,8.333333333333334,4.666666666666667,0.3333333333333333,Welterweight,L,Muay_Thai
Calvin Kattar,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.25,23.5,52.75,24.5,54.25,0.25,0.625,0.0,7.75,16.375,4.75,2.375,20.75,0.25,2.5,Featherweight,L,Sniper
Vanessa Melo,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,17.0,75.0,21.0,79.0,0.0,0.0,0.0,0.0,13.0,1.3333333333333333,2.6666666666666665,17.0,0.0,0.0,Women's Bantamweight,W,Mixed
Jacob Kilburn,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,2.0,4.0,5.0,7.0,0.0,0.0,0.0,12.0,0.0,2.0,0.0,1.0,1.0,0.0,Featherweight,L,Mixed
Li Jingliang,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.2727272727272727,15.545454545454545,34.36363636363637,17.0,36.27272727272727,0.6363636363636364,1.0909090909090908,0.0,24.181818181818183,8.818181818181818,1.6363636363636365,5.090909090909091,12.090909090909092,1.0,2.4545454545454546,Welterweight,W,Mixed
Justin Tafa,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.5,8.0,12.0,13.5,17.5,0.0,0.0,0.0,35.5,5.0,0.5,2.5,5.0,2.5,0.5,Heavyweight,L,Mixed
Carlos Felipe,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,23.0,58.0,23.0,58.0,0.0,0.0,0.0,0.0,10.5,8.5,4.0,23.0,0.0,0.0,Heavyweight,W,Sniper
Austin Lingo,2021-01-16,UFC Fight Night: Holloway vs. Kattar,0.0,8.0,30.0,10.0,32.0,1.0,1.0,0.0,60.0,4.0,3.0,1.0,7.0,1.0,0.0,Featherweight,W,Mixed
Matt Schnell,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,15.428571428571429,41.142857142857146,21.0,47.0,0.2857142857142857,0.5714285714285714,0.5714285714285714,4.857142857142857,10.0,1.7142857142857142,3.7142857142857144,13.428571428571429,1.7142857142857142,0.2857142857142857,Flyweight,W,Mixed
Tyson Nam,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.25,10.5,36.5,11.0,37.0,0.0,0.25,0.0,7.25,6.75,2.5,1.25,9.25,1.0,0.25,Flyweight,L,Mixed
Umar Nurmagomedov,2021-01-20,UFC Fight Night: Chiesa vs. Magny,,,,,,,,,,,,,,,,Bantamweight,W,Mixed
Markus Perez,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,11.166666666666666,25.666666666666668,14.333333333333334,29.833333333333332,0.6666666666666666,1.6666666666666667,0.5,64.33333333333333,5.833333333333333,3.6666666666666665,1.6666666666666667,7.166666666666667,3.3333333333333335,0.6666666666666666,Middleweight,L,Mixed
Dalcha Lungiambula,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,5.5,15.0,12.5,22.5,1.0,2.0,0.0,108.0,3.0,2.5,0.0,3.5,1.5,0.5,Middleweight,W,Mixed
Douglas Silva de Andrade,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,18.833333333333332,47.5,21.833333333333332,50.666666666666664,0.3333333333333333,0.6666666666666666,0.0,9.5,8.5,4.666666666666667,5.666666666666667,17.5,1.1666666666666667,0.16666666666666666,Featherweight,L,Mixed
Lerone Murphy,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,13.5,26.5,22.0,35.0,0.5,1.0,0.5,41.0,7.0,3.5,3.0,4.0,1.0,8.5,Featherweight,W,Mixed
Sergey Morozov,2021-01-20,UFC Fight Night: Chiesa vs. Magny,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Tom Breese,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.5714285714285714,18.428571428571427,33.57142857142857,20.285714285714285,35.42857142857143,0.0,0.42857142857142855,0.0,22.571428571428573,11.714285714285714,5.0,1.7142857142857142,13.428571428571429,3.0,2.0,Middleweight,L,Mixed
Omari Akhmedov,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.09090909090909091,14.545454545454545,45.27272727272727,19.818181818181817,51.36363636363637,0.6363636363636364,1.2727272727272727,0.09090909090909091,58.09090909090909,9.181818181818182,3.0,2.3636363636363638,10.545454545454545,1.6363636363636365,2.3636363636363638,Middleweight,W,Mixed
Mike Davis,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,39.5,75.0,40.0,75.5,0.5,0.5,0.0,15.5,25.5,12.0,2.0,25.5,8.0,6.0,Lightweight,W,Muay_Thai
Viviane Araujo,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,27.25,53.5,31.25,57.75,0.75,1.0,0.0,35.0,16.25,4.75,6.25,25.5,1.0,0.75,Women's Flyweight,W,Mixed
Mounir Lazzez,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,41.0,82.0,41.0,82.0,1.0,1.0,0.0,16.0,14.0,11.0,16.0,41.0,0.0,0.0,Welterweight,L,Mixed
Roxanne Modafferi,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,11.875,39.25,32.375,63.5,0.75,1.5,0.0,108.0,9.5,1.25,1.125,10.125,0.5,1.25,Women's Flyweight,L,Mixed
Victoria Leonardo,2021-01-20,UFC Fight Night: Chiesa vs. Magny,,,,,,,,,,,,,,,,Women's Flyweight,L,Mixed
Manon Fiorot,2021-01-20,UFC Fight Night: Chiesa vs. Magny,,,,,,,,,,,,,,,,Women's Flyweight,W,Mixed
Ike Villanueva,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,10.5,27.5,18.5,36.0,0.0,0.0,0.0,29.0,8.0,2.5,0.0,7.0,3.5,0.0,Light Heavyweight,W,Mixed
Vinicius Moreira,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,4.666666666666667,9.0,5.0,9.333333333333334,0.0,3.0,0.0,57.333333333333336,0.0,2.3333333333333335,2.3333333333333335,3.6666666666666665,1.0,0.0,Light Heavyweight,L,Mixed
Michael Chiesa,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,8.875,21.0,16.25,31.375,1.5,2.75,0.0,125.875,6.125,2.125,0.625,3.875,1.75,3.25,Welterweight,W,Mixed
Neil Magny,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.06666666666666667,12.666666666666666,28.066666666666666,26.4,43.266666666666666,0.8,2.066666666666667,0.06666666666666667,63.06666666666667,7.6,3.1333333333333333,1.9333333333333333,6.333333333333333,2.533333333333333,3.8,Welterweight,L,Mixed
Gaetano Pirrello,2021-01-20,UFC Fight Night: Chiesa vs. Magny,,,,,,,,,,,,,,,,Bantamweight,L,Mixed
Ricky Simon,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.3333333333333333,14.833333333333334,32.333333333333336,19.0,36.666666666666664,1.6666666666666667,3.3333333333333335,0.0,65.0,8.166666666666666,3.8333333333333335,2.8333333333333335,10.0,2.5,2.3333333333333335,Bantamweight,W,Mixed
Sumudaerji,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.3333333333333333,12.0,21.333333333333332,13.0,22.666666666666668,0.0,0.0,0.0,0.6666666666666666,8.0,1.0,3.0,9.333333333333334,1.0,1.6666666666666667,Flyweight,W,Mixed
Zarrukh Adashev,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,2.0,6.0,2.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,Flyweight,L,Mixed
Francisco Figueiredo,2021-01-20,UFC Fight Night: Chiesa vs. Magny,,,,,,,,,,,,,,,,Flyweight,W,Mixed
Jerome Rivera,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,28.0,76.0,29.0,77.0,0.0,0.0,0.0,0.0,9.0,1.0,18.0,27.0,1.0,0.0,Flyweight,L,Sniper
Warlley Alves,2021-01-20,UFC Fight Night: Chiesa vs. Magny,0.0,11.777777777777779,24.666666666666668,14.555555555555555,28.333333333333332,0.5555555555555556,1.1111111111111112,0.4444444444444444,80.66666666666667,4.444444444444445,4.0,3.3333333333333335,7.777777777777778,3.6666666666666665,0.3333333333333333,Welterweight,W,Mixed
Mason Jones,2021-01-20,UFC Fight Night: Chiesa vs. Magny,,,,,,,,,,,,,,,,Lightweight,L,Mixed
Movsar Evloev,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,18.0,46.0,31.666666666666668,62.333333333333336,1.3333333333333333,2.0,0.0,88.66666666666667,14.333333333333334,2.0,1.6666666666666667,12.0,2.6666666666666665,3.3333333333333335,Catch Weight,W,Muay_Thai
Conor McGregor,2021-01-23,UFC 257: Poirier vs. McGregor,0.625,21.5,45.75,27.625,52.0,0.0,0.0,0.0,13.375,14.25,3.875,3.375,16.5,1.75,3.25,Lightweight,L,Striker
Dustin Poirier,2021-01-23,UFC 257: Poirier vs. McGregor,0.46153846153846156,29.307692307692307,61.23076923076923,31.923076923076923,64.07692307692308,0.23076923076923078,0.6153846153846154,0.07692307692307693,24.0,22.692307692307693,3.769230769230769,2.8461538461538463,23.076923076923077,4.846153846153846,1.3846153846153846,Lightweight,W,Striker
Antonio Carlos Junior,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,11.6,24.5,22.8,37.2,1.4,3.0,0.3,146.1,7.8,2.1,1.7,6.2,1.2,4.2,Middleweight,L,Mixed
Amanda Ribas,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,12.25,29.25,29.5,47.75,1.0,1.75,0.5,126.75,7.25,3.75,1.25,8.0,1.25,3.0,Women's Strawweight,L,Mixed
Makhmud Muradov,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,18.0,50.0,18.0,50.0,0.0,1.0,0.0,5.0,10.0,8.0,0.0,18.0,0.0,0.0,Middleweight,W,Mixed
Nik Lentz,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,23.3,41.4,31.1,50.4,1.0,3.6,0.4,94.0,14.3,5.0,4.0,12.6,5.8,4.9,Catch Weight,L,Muay_Thai
Andrew Sanchez,2021-01-23,UFC 257: Poirier vs. McGregor,0.375,21.5,48.125,31.75,60.625,0.875,2.0,0.0,98.5,15.75,3.5,2.25,15.75,3.0,2.75,Middleweight,L,Striker
Arman Tsarukyan,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,12.666666666666666,25.666666666666668,27.333333333333332,42.666666666666664,1.0,4.666666666666667,0.0,147.0,5.0,2.6666666666666665,5.0,6.333333333333333,2.3333333333333335,4.0,Lightweight,W,Mixed
Amir Albazi,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,12.0,28.0,28.0,46.0,1.0,1.0,1.0,141.0,8.0,2.0,2.0,10.0,0.0,2.0,Flyweight,W,Mixed
Zhalgas Zhumagulov,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,19.0,41.0,19.0,41.0,1.0,3.0,0.0,12.0,5.0,6.0,8.0,19.0,0.0,0.0,Flyweight,L,Mixed
Dan Hooker,2021-01-23,UFC 257: Poirier vs. McGregor,0.3076923076923077,19.923076923076923,40.69230769230769,23.076923076923077,43.84615384615385,0.07692307692307693,0.3076923076923077,0.15384615384615385,24.76923076923077,10.538461538461538,2.5384615384615383,6.846153846153846,17.615384615384617,0.6153846153846154,1.6923076923076923,Lightweight,L,Mixed
Michael Chandler,2021-01-23,UFC 257: Poirier vs. McGregor,,,,,,,,,,,,,,,,Lightweight,W,Mixed
Marcin Prachnio,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,10.666666666666666,22.0,20.666666666666668,32.333333333333336,0.0,0.0,0.0,13.0,1.6666666666666667,2.6666666666666665,6.333333333333333,8.0,2.6666666666666665,0.0,Light Heavyweight,W,Mixed
Matt Frevola,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,15.0,37.75,15.5,38.25,1.0,2.25,0.5,60.5,9.25,3.25,2.5,12.5,1.0,1.5,Lightweight,L,Mixed
Marina Rodriguez,2021-01-23,UFC 257: Poirier vs. McGregor,0.2,17.8,35.0,24.4,42.0,0.0,0.0,0.0,48.6,13.8,2.0,2.0,8.4,3.4,6.0,Women's Strawweight,W,Mixed
Julianna Pena,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,16.166666666666668,33.333333333333336,39.833333333333336,60.5,0.8333333333333334,1.6666666666666667,0.0,106.5,9.666666666666666,4.666666666666667,1.8333333333333333,2.5,6.833333333333333,6.833333333333333,Women's Bantamweight,W,Mixed
Brad Tavares,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,10.125,30.125,11.875,32.125,0.125,0.25,0.0,13.5,4.625,2.0,3.5,7.625,2.375,0.125,Middleweight,W,Mixed
Khalil Rountree Jr.,2021-01-23,UFC 257: Poirier vs. McGregor,0.4444444444444444,10.333333333333334,26.22222222222222,12.444444444444445,28.555555555555557,0.0,0.0,0.1111111111111111,1.6666666666666667,6.333333333333333,2.0,2.0,7.555555555555555,1.5555555555555556,1.2222222222222223,Light Heavyweight,L,Mixed
Joanne Wood,2021-01-23,UFC 257: Poirier vs. McGregor,0.1,22.8,46.2,33.8,59.7,0.4,0.4,0.3,81.9,8.3,4.3,10.2,18.0,1.6,3.2,Women's Flyweight,W,Mixed
Jessica Eye,2021-01-23,UFC 257: Poirier vs. McGregor,0.0,14.7,47.1,22.2,55.1,0.0,0.3,0.6,12.5,9.4,2.8,2.5,13.1,1.4,0.2,Women's Flyweight,L,Mixed
Sara McMann,2021-01-23,UFC 257: Poirier vs. McGregor,0.125,9.75,24.75,22.625,38.75,0.75,1.25,0.25,148.125,6.5,2.75,0.5,2.5,1.375,5.875,Women's Bantamweight,L,Mixed
Michael Johnson,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.08333333333333333,25.333333333333332,67.41666666666667,25.333333333333332,67.41666666666667,0.08333333333333333,0.08333333333333333,0.0,2.0833333333333335,12.166666666666666,8.083333333333334,5.083333333333333,24.333333333333332,0.5833333333333334,0.4166666666666667,Lightweight,L,Sniper
Karol Rosa,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,48.5,103.5,55.0,111.5,0.5,0.5,0.0,36.5,26.5,3.5,18.5,48.5,0.0,0.0,Women's Bantamweight,W,Sniper
Justin Jaynes,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.6666666666666666,22.0,45.333333333333336,22.333333333333332,45.666666666666664,0.0,0.0,0.3333333333333333,13.666666666666666,16.333333333333332,5.666666666666667,0.0,17.0,1.6666666666666667,3.3333333333333335,Catch Weight,L,Striker
Joselyne Edwards,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,10.0,15.0,26.0,34.0,0.0,0.0,1.0,34.0,9.0,0.0,1.0,5.0,1.0,4.0,Women's Bantamweight,L,Mixed
Frankie Edgar,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.1,18.8,47.0,20.4,48.8,0.2,1.8,0.0,50.3,12.0,3.2,3.6,14.1,0.7,4.0,Bantamweight,L,Mixed
Danilo Marques,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,4.0,7.0,5.0,8.0,1.0,9.0,0.0,164.0,2.0,1.0,1.0,4.0,0.0,0.0,Light Heavyweight,W,Mixed
Cory Sandhagen,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.14285714285714285,28.714285714285715,60.714285714285715,34.285714285714285,67.14285714285714,0.2857142857142857,0.7142857142857143,0.2857142857142857,49.0,16.714285714285715,5.714285714285714,6.285714285714286,19.428571428571427,1.2857142857142858,8.0,Bantamweight,W,Sniper
Alistair Overeem,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.15384615384615385,14.307692307692308,18.846153846153847,19.076923076923077,24.153846153846153,0.3076923076923077,0.7692307692307693,0.07692307692307693,49.53846153846154,7.461538461538462,4.384615384615385,2.4615384615384617,6.923076923076923,2.6923076923076925,4.6923076923076925,Heavyweight,L,Mixed
Manel Kape,2021-02-06,UFC Fight Night: Overeem vs. Volkov,,,,,,,,,,,,,,,,Flyweight,L,Mixed
Alexander Volkov,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,25.5,41.25,33.875,50.875,0.625,0.75,0.0,30.0,16.875,5.625,3.0,16.5,4.875,4.125,Heavyweight,W,Muay_Thai
Ode Osbourne,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,9.0,14.0,19.0,25.0,0.0,0.0,0.0,4.0,9.0,0.0,0.0,3.0,1.0,5.0,Featherweight,W,Mixed
Alexandre Pantoja,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.3333333333333333,19.555555555555557,38.55555555555556,26.333333333333332,45.55555555555556,0.2222222222222222,0.7777777777777778,0.4444444444444444,75.22222222222223,13.222222222222221,3.111111111111111,3.2222222222222223,14.555555555555555,1.3333333333333333,3.6666666666666665,Flyweight,W,Striker
Timur Valiev,2021-02-06,UFC Fight Night: Overeem vs. Volkov,1.0,53.0,74.0,53.0,74.0,0.0,0.0,0.0,1.0,26.0,21.0,6.0,47.0,6.0,0.0,Featherweight,W,Striker
Youssef Zalal,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.25,15.75,33.5,18.75,37.75,0.25,1.5,0.0,39.25,10.5,1.75,3.5,12.75,0.5,2.5,Featherweight,L,Mixed
SeungWoo Choi,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,13.666666666666666,33.666666666666664,27.666666666666668,49.0,0.3333333333333333,0.3333333333333333,0.0,40.666666666666664,8.333333333333334,4.666666666666667,0.6666666666666666,7.0,6.666666666666667,0.0,Featherweight,W,Mixed
Diego Ferreira,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.14285714285714285,23.571428571428573,62.714285714285715,27.285714285714285,66.57142857142857,0.42857142857142855,1.5714285714285714,0.2857142857142857,56.285714285714285,16.428571428571427,4.571428571428571,2.5714285714285716,16.428571428571427,1.8571428571428572,5.285714285714286,Lightweight,L,Sniper
Beneil Dariush,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.2857142857142857,22.142857142857142,42.5,25.357142857142858,46.285714285714285,0.42857142857142855,2.0,0.2857142857142857,92.64285714285714,13.5,5.0,3.642857142857143,13.928571428571429,3.5,4.714285714285714,Lightweight,W,Muay_Thai
Clay Guida,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.2222222222222222,10.444444444444445,29.666666666666668,13.555555555555555,34.333333333333336,0.6666666666666666,1.4444444444444444,0.0,61.22222222222222,6.222222222222222,0.8888888888888888,3.3333333333333335,7.222222222222222,0.8888888888888888,2.3333333333333335,Lightweight,W,Mixed
Molly McCann,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,26.2,56.8,28.8,59.4,0.8,2.2,0.4,29.4,16.4,4.4,5.4,21.4,2.4,2.4,Women's Flyweight,L,Mixed
Lara Procopio,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,66.0,112.0,69.0,115.0,0.0,2.0,0.0,22.0,40.0,8.0,18.0,64.0,2.0,0.0,Women's Flyweight,W,Sniper
Martin Day,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.3333333333333333,17.0,38.333333333333336,20.666666666666668,42.0,0.3333333333333333,0.6666666666666666,0.3333333333333333,42.0,8.0,6.0,3.0,15.0,0.3333333333333333,1.6666666666666667,Featherweight,L,Mixed
Jerome Rivera,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.0,20.0,55.5,29.0,67.5,0.0,1.5,0.0,5.0,5.0,3.0,12.0,17.5,2.5,0.0,Featherweight,L,Sniper
Devonte Smith,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.6666666666666666,15.666666666666666,29.666666666666668,15.666666666666666,29.666666666666668,0.0,0.0,0.0,1.6666666666666667,8.666666666666666,1.6666666666666667,5.333333333333333,13.0,0.0,2.6666666666666665,Catch Weight,W,Mixed
Mike Rodriguez,2021-02-06,UFC Fight Night: Overeem vs. Volkov,0.5,22.333333333333332,35.166666666666664,27.0,40.333333333333336,0.0,0.0,0.0,34.5,10.666666666666666,7.0,4.666666666666667,13.5,6.166666666666667,2.6666666666666665,Light Heavyweight,L,Striker
Phil Rowe,2021-02-13,UFC 258: Usman vs. Burns,,,,,,,,,,,,,,,,Welterweight,L,Mixed
Dhiego Lima,2021-02-13,UFC 258: Usman vs. Burns,0.14285714285714285,7.0,21.0,7.571428571428571,21.571428571428573,0.0,0.2857142857142857,0.0,4.0,4.285714285714286,1.4285714285714286,1.2857142857142858,6.285714285714286,0.42857142857142855,0.2857142857142857,Welterweight,L,Mixed
Julian Marquez,2021-02-13,UFC 258: Usman vs. Burns,0.0,16.0,44.0,18.5,46.5,0.0,1.0,0.5,10.0,13.0,2.5,0.5,7.0,5.5,3.5,Middleweight,W,Muay_Thai
Chris Gutierrez,2021-02-13,UFC 258: Usman vs. Burns,0.0,17.8,34.0,19.2,35.8,0.0,0.2,0.0,1.8,4.4,1.8,11.6,17.2,0.2,0.4,Catch Weight,W,Mixed
Gabe Green,2021-02-13,UFC 258: Usman vs. Burns,0.0,26.0,68.0,26.0,68.0,0.0,0.0,0.0,0.0,4.0,11.0,11.0,26.0,0.0,0.0,Welterweight,W,Sniper
Andre Ewell,2021-02-13,UFC 258: Usman vs. Burns,0.16666666666666666,20.333333333333332,47.666666666666664,24.666666666666668,52.5,0.16666666666666666,0.16666666666666666,0.0,38.5,13.166666666666666,6.333333333333333,0.8333333333333334,19.666666666666668,0.5,0.16666666666666666,Catch Weight,L,Mixed
Kelvin Gastelum,2021-02-13,UFC 258: Usman vs. Burns,0.3333333333333333,15.75,31.666666666666668,18.333333333333332,35.083333333333336,0.16666666666666666,0.25,0.0,23.666666666666668,11.083333333333334,2.0,2.6666666666666665,11.416666666666666,2.0833333333333335,2.25,Middleweight,W,Mixed
Ian Heinisch,2021-02-13,UFC 258: Usman vs. Burns,0.2,13.2,24.2,17.6,28.8,0.0,0.8,0.4,3.6,6.6,3.0,3.6,8.2,1.2,3.8,Middleweight,L,Mixed
Belal Muhammad,2021-02-13,UFC 258: Usman vs. Burns,0.0,19.636363636363637,47.36363636363637,24.272727272727273,53.18181818181818,0.18181818181818182,1.4545454545454546,0.0,28.90909090909091,11.272727272727273,2.4545454545454546,5.909090909090909,18.272727272727273,0.8181818181818182,0.5454545454545454,Welterweight,W,Sniper
Maycee Barber,2021-02-13,UFC 258: Usman vs. Burns,0.0,24.0,46.5,29.0,52.0,0.0,1.0,0.0,42.75,16.5,3.75,3.75,13.0,10.25,0.75,Women's Flyweight,L,Muay_Thai
Anthony Hernandez,2021-02-13,UFC 258: Usman vs. Burns,0.0,14.666666666666666,35.0,16.0,36.333333333333336,1.0,1.3333333333333333,0.0,50.666666666666664,12.0,1.6666666666666667,1.0,10.666666666666666,4.0,0.0,Middleweight,W,Mixed
